customer_state,total_orders,late_orders,late_rate,avg_late_days,avg_review_score,avg_payment_value,late_dispatch_count,late_dispatch_rate,avg_dispatch_time,avg_dispatch_delay
AC,80,3,0.031914893617021274,-21.180851063829788,4.150537634408602,264.79244680851065,3,0.031914893617021274,2.24468085106383,-3.978723404255319
AL,397,109,0.2449438202247191,-8.5438202247191,3.8200455580865604,244.33204494382022,30,0.06741573033707865,2.635955056179775,-3.6651685393258426
AM,145,7,0.041176470588235294,-19.847058823529412,4.095238095238095,203.44811764705884,5,0.029411764705882353,1.8470588235294119,-4.452941176470588
AP,67,4,0.04819277108433735,-18.650602409638555,4.280487804878049,259.29771084337347,4,0.04819277108433735,2.325301204819277,-4.108433734939759
BA,3252,539,0.13701067615658363,-10.987544483985765,3.867783505154639,196.57552109811897,185,0.04702592780884596,2.389171326893747,-3.7979156075241485
CE,1278,225,0.15,-11.297333333333333,3.886653252850436,222.72750666666667,73,0.048666666666666664,2.36,-3.716666666666667
DF,2076,178,0.07325102880658436,-12.175308641975308,4.055949895615867,173.85679423868314,115,0.047325102880658436,2.3588477366255143,-3.7395061728395063
ES,1989,281,0.12175043327556326,-10.589254766031196,4.00484368119771,172.15893847487,122,0.05285961871750433,2.5246967071057194,-3.705372616984402
GO,1951,187,0.07867059318468658,-12.305427008834666,4.02656383890317,208.04045435422802,87,0.036600757257046694,2.065208245687842,-4.098864114429953
MA,714,166,0.20318237454100369,-9.903304773561812,3.7332506203473947,238.63122399020807,46,0.056303549571603426,2.780905752753978,-3.902080783353733
MG,11324,721,0.05379794060587972,-13.349873153260708,4.124830291144969,170.0337360095508,622,0.04641098343530816,2.344202357857036,-3.8436800477540665
MS,699,90,0.10778443113772455,-11.234730538922156,4.0830324909747295,194.72568862275452,37,0.04431137724550898,2.259880239520958,-4.004790419161677
MT,882,71,0.06623134328358209,-14.265858208955224,4.013245033112582,233.38746268656715,35,0.03264925373134328,2.1417910447761193,-4.052238805970149
PA,945,135,0.12362637362637363,-14.254578754578755,3.8483992467043313,233.57714285714286,37,0.03388278388278388,2.4633699633699635,-3.8745421245421245
PB,517,72,0.11538461538461539,-13.030448717948717,4.0359477124183005,284.43160256410255,39,0.0625,2.4823717948717947,-3.6586538461538463
PE,1592,188,0.10262008733624454,-13.493449781659388,4.025456557830658,197.19033296943232,86,0.04694323144104803,2.3155021834061134,-3.8455240174672487
PI,472,88,0.16029143897996356,-11.395264116575593,3.9205175600739373,242.71429872495446,22,0.04007285974499089,2.31511839708561,-3.848816029143898
PR,4910,280,0.0477326968973747,-13.468803273099216,4.150842793257654,175.63299863620867,281,0.04790317081486532,2.3610637572451414,-3.7693487896351856
RJ,12329,1931,0.12970177324019344,-12.002149382052659,3.879013526438038,180.67758127350888,694,0.04661472326706072,2.513433637829124,-3.772837184309511
RN,474,65,0.11565836298932385,-13.686832740213523,4.081081081081081,204.86133451957298,38,0.06761565836298933,2.8416370106761564,-3.7402135231316724
RO,243,11,0.03914590747330961,-19.98220640569395,4.090252707581228,232.03081850533806,10,0.03558718861209965,1.8576512455516014,-4.224199288256227
RR,41,5,0.10869565217391304,-18.32608695652174,3.891304347826087,245.67130434782607,3,0.06521739130434782,2.717391304347826,-3.0
RS,5326,432,0.06770098730606489,-14.189155304811159,4.077700568540745,173.92923209528286,263,0.04121611032753487,2.261557749569033,-3.9230528130387086
SC,3533,404,0.09607609988109393,-11.546967895362663,4.044984363723839,181.73221878715813,215,0.05112960760998811,2.426872770511296,-3.83115338882283
SE,334,61,0.15844155844155844,-10.01038961038961,3.892105263157895,222.3196103896104,25,0.06493506493506493,2.722077922077922,-3.657142857142857
SP,40423,2750,0.05660532707587172,-11.220390268000495,4.179423697076875,152.76850397266477,2232,0.04594294183030752,2.2934625993166193,-3.8204684862706353
TO,273,38,0.11411411411411411,-12.546546546546546,4.1909090909090905,212.16546546546547,26,0.07807807807807808,2.5675675675675675,-3.765765765765766
