iter	Passed	Remaining
0	724	216592
1	1444	215213
2	1882	186319
3	2281	168811
4	2736	161450
5	3209	157257
6	3529	147751
7	3957	144448
8	4326	139892
9	4629	134260
10	4972	130639
11	5392	129431
12	5774	127484
13	6149	125624
14	6450	122567
15	6799	120694
16	7098	118171
17	7340	114995
18	7751	114634
19	8134	113887
20	8447	112234
21	8763	110733
22	9042	108897
23	9379	107862
24	9688	106577
25	10055	105973226	10421	105371227	10775	104673228	11110	103822229	11433	102899330	11740	101878331	12033	100773232	12378	100133	33	12704	99334	34	13010	98535	35	13345	97836	36	13644	96937	37	13982	96438	38	14339	95939	39	14668	95340	40	15020	94841	41	15420	94742	42	15808	94443	43	16196	94237
44	16563	93857
45	16886	93241
46	17277	93001
47	17599	92397
48	17991	92161
49	18309	91549
50	18615	90889
51	18883	90059
52	19156	89275
53	19487	88775
54	19806	88227
55	20110	87622
56	20414	87028
57	20726	86481
58	21020	59	59	59	21410	85643
60	21748	85210
61	22036	84591
62	22368	84163	63	22752	83900
64	23098	83565	65	23452	83148
66	23877	83034
67	24177	82486
68	24544	82172
69	24849	81649
70	25158	81146
71	25518	80809
72	25835	80339
73	26193	79997
74	26578	79736
75	26901	79289
76	27262	78955
77	27544	78394
78	27874	77978
79	28168	77462
80	28487	77022
81	28897	76825
82	29229	76420
83	29531	75937
84	29861	75531
85	30212	75180
86	30598	74914
87	30909	74463
88	31189	73943
89	31527	73565
90	31824	73091
91	32200	72801
92	32527	72399
93	32822	71929
94	33156	71548
95	33464	71112
96	33812	70762
97	34086	70259
98	34427	69897
99	34934	69868
100	35277	69506
101	35600	69106
102	35928	68718
103	36280	68374
104	36604	67979
105	37008	67733
106	37330	67335
107	37637	66910
108	37954	66507
109	38301	66156
110	38629	65774
111	38944	65370
112	39244	64944
113	39552	64533
114	39835	64083
115	40202	63769
116	40545	63417
117	40856	63016
118	41205	62674
119	41541	62312
120	41867	61936
121	42223	61604
122	42595	61296
123	42928	60930
124	43273	60582
125	43576	60177
126	43873	59764
127	44177	59363
128	44485	58968
129	44820	58611
130	45140	58234
131	45463	57862
132	45814	57526
133	46160	57183
134	46449	56771
135	46760	56387
136	47062	55993
137	47374	55612
138	47670	55215
139	48034	54896
140	48370	54545
141	48647	54128
142	48917	53707
143	49284	53392
144	49622	53044
145	50002	52742
146	50345	52400
147	50683	52053
148	50990	51675
149	51347	51347
150	51702	51017
151	51982	50614
152	52344	50292
153	52719	49980
154	53027	49606
155	53345	49242
156	53673	48886
157	53994	48526
158	54342	48190
159	54681	47846
160	54986	47473
161	55317	47121
162	55671	46791
163	55994	46434
164	56358	46111
165	56721	45786
166	57019	45410
167	57367	45074
168	57726	44746
169	58049	44390
170	58424	44074
171	58777	43741
172	59147	43420
173	59501	43087
174	59847	42748
175	60181	42400
176	60569	42090
177	60918	41753
178	61353	41473
179	61741	41161
180	62147	40859
181	62556	40558
182	62941	40240
183	63266	39885
184	63655	39569
185	64003	39228
186	64378	38902
187	64731	38563
188	65040	38198
189	65385	37854
190	65724	37507
191	66058	37157
192	66423	36825
193	66719	36454
194	67045	36101
195	67395	35760
196	67742	35418
197	68094	35078
198	68502	34767
199	68905	34452
200	69231	34099
201	69557	33745
202	69930	33414
203	70267	33067
204	70608	32720
205	70840	32325
206	71128	31956
207	71433	31595
208	71716	31225
209	72086	30894
210	72444	30557
211	72779	30210
212	73066	29844
213	73407	29500
214	73706	29139
215	73986	28772
216	74306	28421
217	74639	28075
218	74921	27710
219	75225	27354
220	75517	26995
221	75860	26653
222	76219	26318
223	76530	25965
224	76837	25612
225	77206	25279
226	77527	24931
227	77842	24581
228	78179	24239
229	78561	23909
230	78866	23557
231	79190	23211
232	79519	22866
233	79812	22511
234	80112	22158
235	80485	21826
236	80860	21494
237	81217	21157
238	81545	20812
239	81881	20470
240	82256	20137
241	82597	19796
242	82934	19453
243	83272	19111
244	83568	18760
245	83875	18411
246	84191	18065
247	84561	17730
248	84856	17380
249	85275	17055
250	85592	16709
251	85990	16379
252	86321	16035
253	86620	15687
254	86940	15342
255	87254	14996
256	87633	14662
257	87942	14316
258	88297	13977
259	88650	13638
260	88959	13292
261	89362	12960
262	89686	12617
263	90029	12276
264	90380	11937
265	90682	11590
266	90940	11239
267	91280	10899
268	91693	10566
269	92136	10237
270	92431	9891
271	92781	9550
272	93143	9211
273	93484	8870
274	93854	8532
275	94145	8186
276	94466	7843
277	94762	7499
278	95107	7158
279	95459	6818
280	95798	6477
281	96153	6137
282	96480	5795
283	96801	5453
284	97109	5111
285	97461	4770
286	97802	4430
287	98107	4087
288	98463	3747
289	98836	3408
290	99223	3068
291	99487	2725
292	99721	2382
293	100045	2041
294	100255	1699
295	100469	1357
296	100709	1017
297	100854	676
298	101015	337
299	101151	0
